№ проекта|№ в ERP:|Отдел|Статус|Дата(КД)|Лазер|Н/час сб.|Этап|кол-во|Отгр.|Вес|Сост.|
переработки||||||||||||
9||КТ|отгружено|23.08.2018|||||28.09.2018|7637|44|
1405161||КТ|отгружено|19.09.2018|||||09.10.2018|6,36|41|
1808106||КТ|отгружено|18.09.2018|||||15.10.2018|21,46|44|
1809039||КТ|отгружено|03.10.2018|||||15.10.2018|157||
1808058||КЛ|отгружено|31.08.2018|||||17.10.2018|1002||
1807075||КЛ|отгружено|11.09.2018|||||18.10.2018|694||
1807043||ШГ|отгружено|04.09.2018|||||18.10.2018|293||
1604012||КТ|отгружено|27.09.2018|||||19.10.2018|1158|42|
1805036||КТ|отгружено|05.09.2018|||||19.10.2018|148,94||
1807078||ШГ|отгружено|05.10.2018|||||19.10.2018|4610||
1808104||ШГ|отгружено|30.08.2018|||||19.10.2018|81,82||
1808141||РТ|отгружено|12.10.2018|||||19.10.2018|0||
1808142||РТ|отгружено|12.10.2018|||||19.10.2018|0||
1408182||КТ|отгружено|14.09.2018|||||22.10.2018|1007,07|44|
1302067||КТ|отгружено|21.09.2018|||||25.10.2018|1,38|43|
1706004||КТ|отгружено|01.10.2018|||||25.10.2018|444||
1406040||КТ|отгружено||||||26.10.2018|23|43|
1406163||КТ|отгружено|24.09.2018|||||26.10.2018|19,7|43|
1507046_рама||КТ|отгружено|05.10.2018|||||26.10.2018|3083|44|
1808123||КТ|отгружено|21.09.2018|||||26.10.2018|162||
1703125||КТ|отгружено|26.09.2018|||||26.10.2018|33,04||
1806111||КТ|отгружено|08.10.2018|||||29.10.2018|90|43|
1703125.02||КТ|отгружено|05.10.2018|||||30.10.2018|36||
1807071||КТ|отгружено|28.08.2018|||||31.10.2018|1604,97|44|
1703126||КТ|отгружено|05.09.2018|||||31.10.2018|592,92||
1804148||КТ|отгружено|20.09.2018|||||31.10.2018|7294,22||
1803047||КТ|отгружено|23.10.2018|||||31.10.2018|0||
1709341||АО|отгружено|25.10.2018|||||31.10.2018|60||
1807023||КТ|отгружено|17.10.2018|||||07.11.2018|212||
1809013||КЛ|отгружено|20.09.2018|||||09.11.2018|1042||
